,date,publication,words,author,title,intro
0,2022-08-01,Les Echos,1429mots,VINCENT COLLEN,Comment le changement climatique a contribué au déclin de l'Empire romain,"    ... La fin de l'optimum  climatique romain, au III e siècle de notre ère, marque le début du déclin d'un immense empire qui regroupe le quart de la population mondiale. Mais ...  "
1,2022-07-11,Les Echos,621mots,,Un système financier plus vert,        ...  carbone de ses portefeuilles et inciter les banques à mieux gérer les risques liés au  climat et à l'environnement. Le changement  climatique est un enjeu important pour les banques centrales et ...  
2,2022-05-20,Les Echos,710mots,LAURENCE BOISSEAU,TotalEnergies : une stratégie climatique insuffisante pour certains investisseurs,"    ... Le 25 mai, le groupe pétrolier va soumettre sa politique  climatique à un vote consultatif. Meeschaert Amilton AM, Ofi AM, Sycomore AM, Edmond de Rothschild AM et La Financière de l'Echiquier ...  "
3,2022-07-11,Les Echos,703mots,EDOUARD LEDERER,"Climat : un risque à plus de 70 milliards pour les banques européennes, selon la BCE","    ...  le cas d'un scénario de sévère remontée des températures, selon le premier stress test  climatique de la Banque centrale européenne. Celleci regrette que la majorité des banques testées n'intègrent ...  "
4,2022-05-25,Les Echos,456mots,LAURENCE BOISSEAU,L'AG de Shell perturbée par des militants pour le climat,    ... L'assemblée générale a été interrompue après que des manifestants ont fait irruption et accusé la stratégie  climatique du groupe de causer de lourds dégâts environnementaux.  ...  
5,2022-08-29,Les Echos,1496mots,MARIANNE BLIMAN,"Mieux explorer l'Arctique, sentinelle du climat","    ...  nouvel engin : une station polaire dérivante. Son objectif : développer toujours plus la recherche sur le  climat et la biodiversité en Arctique. L'Arctique, une zone de 16,5 millions de km2 aux ...  "
6,2022-07-26,Les Echos,670mots,,Climat : Joe Biden coincé entre une Cour suprême hostile et un Congrès divisé,        ... Le président des EtatsUnis a promis des « mesures exécutives fortes » pour lutter contre le changement  climatique. Mais les démocrates ne sont pas parvenus à dégager de majorité au Sénat.  ...  
7,2022-08-31,Les Echos,696mots,GREGOIRE POUSSIELGUE,Climat et énergie : l'exécutif bascule en gestion de crise,"    ... La climatologue Valérie MassonDelmotte, membre du GIEC et du Haut Conseil pour le  climat sera l'invitée du séminaire gouvernemental de ce mercredi. Chaque ministre devra y préciser sa feuille de ...  "
8,2022-05-12,Les Echos,635mots,,Climat : les Big Tech doivent mener le combat,"        Le changement  climatique n'est plus une vérité qui dérange mais un danger immédiat. A tel point que les géants de la tech se mobilisent. Lors de la dernière COP, Apple a ...  "
9,2022-06-30,Les Echos,811mots,JOEL COSSARDEAUX,La réponse au réchauffement climatique « progresse » mais « reste insuffisante »,"    ...  effet de serre ont continué de baisser en 2021, constate le Haut Conseil pour le  climat (HCC) dans son dernier rapport annuel remis mercredi à la Première ministre Elisabeth Borne. Mais la ...  "
10,2022-05-30,Les Echos,499mots,GABRIEL NEDELEC,Climat : un risque à 200 milliards de livres pour les banques britanniques,"    ... A l'issue de son premier stress test  climatique, la Banque d'Angleterre estime que les profits annuels des banques et assurances britanniques pourraient baisser de 10 à 15 % d'ici à ...  "
11,2022-06-30,Les Echos,625mots,MURYEL JACQUE,"Plan climat de l'Union : un accord au forceps, bien accueilli par les ONG","    ...  entre les 27 pays membres du bloc sur une série de textes clés du plan  climat de l'UE, lors de la conférence de presse qui a suivi.   « Une victoire politique,  a ...  "
12,2022-05-06,Les Echos,656mots,,Climat : des actionnaires de TotalEnergies demandent l'intervention de l'AMF,        ...  une coalition d'investisseurs en appelle au président de l'AMF. Ils lui demandent de contraindre le groupe pétrolier à inscrire leur projet de résolution  climat au menu de son AG.  ...  
13,2022-06-20,Les Echos,929mots,GABRIEL NEDELEC,Pourquoi les banques ont tant de mal à convaincre sur le climat,"    ...  petits porteurs adoptent comme un seul homme les résolutions du management, les grands messes annuelles des principaux établissements français ont cette année été perturbées par des groupes de défenseurs du  climat.   ...  "
14,2022-08-02,Les Echos,1598mots,EMMANUEL GRASLAND,Les cités mayas frappées par l'évolution du climat,    ... L'origine de l'effondrement des cités mayas a longtemps posé question aux archéologues. Le  climat apparaît désormais comme un facteur clé de leur abandon.  ...  
15,2022-08-04,Les Echos,1710mots,GABRIEL GRESILLON,Le dérèglement climatique précipite la chute des Ming,"    ... Au début du XVII e siècle, le  climat se refroidit en Chine. Les sécheresses et les inondations se multiplient tandis que des famines dramatiques déciment certaines régions. Déjà fragilisée, la dynastie au ...  "
16,2022-05-20,Les Echos,661mots,GREGORY PLESSE,"En Australie, l'enjeu climatique au coeur des législatives","    ... A la veille du scrutin, le Premier ministre conservateur a rattrapé son écart avec ses opposants travaillistes. Les candidats indépendants et les Verts sont portés par l'urgence  climatique.  ...  "
17,2022-05-03,Les Echos,969mots,GREGORY PLESSE,"En Australie, le climat est un non-sujet de la campagne électorale","    ...  en période de campagne électorale. Même dans un pays comme l'Australie, où le dérèglement  climatique est déjà à l'oeuvre, il reste le grand absent des débats en vue des élections ...  "
18,2022-08-03,Les Echos,1623mots,YANN ROUSSEAU,Comment Angkor s'est retrouvé enrôlé dans le débat sur le climat,"    ...  forages qui permettent de reconstituer l'évolution de l'environnement, affirment qu'une profonde instabilité  climatique aurait précipité la chute de l'empire khmer au XV e siècle. Mais leur thèse est ...  "
19,2022-06-27,Les Echos,650mots,RICHARD HIAULT,"Ukraine, climat, sécurité alimentaire : les dossiers prioritaires du G7","    ...  russes sur Kiev. EtatsUnis, RoyaumeUni, Canada et Japon veulent interdire l'importation d'or russe. Sept dossiers prioritaires, parmi lesquels la crise énergétique et le risque  climatique, seront débattus.  ...  "
20,2022-05-10,Les Echos,707mots,,La réforme du label des fonds ISR se précise,"        ...  optionnels.  « Nous réfléchissons à un label à niveaux, éventuellement avec des   déclinaisons thématiques   sur le  climat, l'emploi ou la santé,  précise la haute fonctionnaire.  Mais il ne faut pas que cela ...  "
21,2022-06-30,Les Echos,907mots,MURYEL JACQUE,La révolution vers un monde sans carbone se fait attendre,"    ...  l'occasion d'un sommet (virtuel) des grandes économies mondiales sur l'énergie et le  climat, le Secrétaire général de l'ONU a exhorté le monde à lâcher les énergies polluantes. Face ...  "
22,2022-05-05,Les Echos,636mots,JOEL COSSARDEAUX,Emmanuel Macron affiche sa volonté d'agir pour le climat,"    ... Le chef de l'Etat a reçu mercredi un groupe d'experts du  climat pour préparer la planification écologique. Le gouvernement a, lui, adressé sa réponse au Conseil d'Etat sur le ...  "
23,2022-06-02,Les Echos,504mots,MURYEL JACQUE,Climat : seuls 10 % des engagements ont été atteints,"    ...  Guterres, ne parlait pas à demimot quand il pointait l'  « urgence planétaire »   du changement  climatique, de la perte de biodiversité et de la pollution à l'occasion de la Journée mondiale ...  "
24,2022-08-24,Les Echos,561mots,,"Affecter les taxes sur l'énergie, une idée du monde d'avant","        ... En 2018, l'idée d'affecter la contribution  climat énergie (CCE) à la transition écologique (8 milliards d'euros sur les 30 milliards que rapporte la TICPE) circulait. Je m'y étais ...  "
25,2022-05-13,Les Echos,572mots,LAURENCE BOISSEAU,Le législateur appelé à se pencher sur les résolutions climatiques en AG,"    ...  fin avril, de mettre à l'ordre du jour une résolution externe déposée par une coalition d'actionnaires sur sa stratégie  climat pour la prochaine assemblée générale, agace fortement certains investisseurs.  ...  "
26,2022-07-05,Les Echos,532mots,GUILLAUME BENOIT,La BCE fait sa révolution climatique,    C'est le plan le plus ambitieux jamais mené par une banque centrale en matière  climatique. La BCE a présenté lundi matin les mesures qu'elle compte adopter pour verdir sa politique ...  
27,2022-06-24,Les Echos,740mots,MURYEL JACQUE,Climat : la France mal armée pour gérer les crises à venir,"    Le changement  climatique est là et ses conséquences déjà perceptibles. La France vient d'étouffer sous une vague de chaleur extrême, inédite par sa précocité et son intensité. La vallée de la ...  "
28,2022-06-28,Les Echos,1250mots,JACQUES HENNO,Sécheresse : comment s'adapter ?,"    ...  d'eau chaude permettra d'augmenter la température au sol de 4°.   « Nous simulons le  climat à l'horizon 2100, sur la base du pire scénario du GIEC »,  explique Mathieu Santonja, enseignant ...  "
29,2022-05-18,Les Echos,507mots,EDOUARD LEDERER,Climat : les ONG perturbent l'assemblée générale de BNP Paribas,"    ... Mardi, l'AG de BNP Paribas, qui se tenait en présentiel pour la première fois en deux ans a été perturbée par plusieurs associations de lutte contre le changement  climatique.  ...  "
30,2022-07-04,Les Echos,547mots,GILBERT CETTE,Transition climatique : quid des mutations professionnelles ?,"    La transition  climatique va induire de vastes transformations professionnelles. Ce thème était celui du séminaire emploi, organisé par le ministère de l'Economie et celui du Travail le 10 juin dernier. Des ...  "
31,2022-06-28,Les Echos,588mots,,La finance peut-elle nous sauver du réchauffement climatique ?,"        ...  s'impose : nous devons sortir des énergies fossiles au plus vite pour contenir le réchauffement  climatique. Ainsi, tous les acteurs doivent être mobilisés, notamment la finance qui, en fournissant les capacités d ...  "
32,2022-08-22,Les Echos,831mots,MURYEL JACQUE,Les défis du gouvernement pour décarboner la France,"    ...  gaz à effet de serre doit doubler. Une vaste concertation doit être lancée en vue d'une nouvelle loi  climaténergie qui définira, filière par filière, territoire par territoire, les objectifs.  ...  "
33,2022-08-02,Les Echos,897mots,ELSA DICHARRY,"Sur le littoral, le déni climatique des acheteurs",    ...  risque de submersion est élevé avec la montée des eaux attendue du fait du réchauffement  climatique. Un de ses concurrents indique vendre toujours sans problème de luxueux chalets dans des stations de ...  
34,2022-08-11,Les Echos,647mots,,"La biodiversité, un enjeu majeur pour les entreprises","        ... 'espèce humaine), comme la pollinisation des cultures, la production d'oxygène, ou la régulation du  climat. Ils sont parfois considérés, à tort, comme illimités et gratuits. Or, nous consommons plus de ressources ...  "
35,2022-05-31,Les Echos,566mots,MURYEL JACQUE,Transition écologique : comment Borne veut embarquer tous les ministres,"    ...  réunis vendredi. Après le pouvoir d'achat et la santé, Elisabeth Borne a placé le  climat dans le trio de tête des priorités pour son exécutif. Mais audelà des deux ministres ...  "
36,2022-08-17,Les Echos,405mots,LES ECHOS,"En Espagne, la douceur de vivre est en péril","    ... 'Afrique du Nord. »   Dans la vaste région de CastilleetLeón, les conséquences du dérèglement  climatique sont désormais bien visibles. Elles sont à l'origine de la hausse des températures cet été ...  "
37,2022-08-05,Les Echos,1770mots,JEAN-MARC VITTORI,Le grand orage de la Révolution française,    ... 'est celui de l'année 1788. Le jour où un terrible orage non politique mais  climatique ravagea la France.   « Tous les pays affectés de cet orage n'offraient plus que le spectacle ...  
38,2022-08-10,Les Echos,523mots,,La banque régionale de Stuttgart renonce à se déclarer neutre en carbone,        ... La LBBW cesse de se dire « neutre du point de vue  climatique » . Son objectif affiché est désormais de réduire ses émissions de CO 2 plutôt que de chercher à les compenser par ...  
39,2022-08-22,Les Echos,825mots,JOEL COSSARDEAUX,"Le bois, un puits de carbone hautement stratégique","    ...  moins en moins de carbone. Depuis le milieu des années 2000, ses capacités de stockage s'érodent sous l'effet du réchauffement  climatique qu'elle est, comble du paradoxe, censée limiter.  ...  "
40,2022-05-27,Les Echos,639mots,SHARON WAJSBROT,"Patrick Pouyanné, le PDG du groupe pétrolier, valide son plan climat","    ...  du groupe, qui s'est tenue mercredi, a entériné la stratégie du groupe en matière de  climat. Emmenés par Greenpeace, des militants écologistes ont tenté sans succès d'empêcher cette réunion.  ...  "
